DATA_STRD_YR,LTTC_ID,CTPR_CD,SIGNGU_CD,LEGALDONG_CD,CENSUS_BNDR_CTPR_CD,CENSUS_BNDR_SIGNGU_CD,CENSUS_BNDR_EMD_CD,TKCAR_TRFC_QTY,AVE_TRAF_NMTM,AVE_TRAF_WAIT_TM,PBTS_TRAF_TRFC_RATE
2023,라라46b49b,48,48840,4884039000,38,38550,38550390,1092.0,0.1328,,0.0
2023,라마54a01a,48,48170,4817043000,38,38030,38030420,258.0,0.1433,,0.0
2023,라사16b27a,41,41670,4167036000,31,31280,31280370,69.0,0.1883,,0.0
2023,라사47a69a,51,51720,5172031000,32,32510,32510310,410.0,0.0024,,0.0
2023,다나21a99b,50,50110,5011025900,39,39010,39010140,293.0,0.9079,213.0,0.0068
2023,라마36a43a,48,48880,4888025000,38,38590,38590110,194.0,0.0,,0.0
2023,다아58a09b,41,41800,4180031000,31,31550,31550310,325.0,0.5569,1186.0,0.0061
2023,나나85b92a,50,50110,5011025000,39,39010,39010110,286.0,0.1153,1235.0,0.0592
2023,라아94a14a,51,51830,5183035000,32,32610,32610350,185.0,0.0,,0.0
2023,다사62b70a,41,41150,4115010500,31,31030,31030590,115.0,0.6261,761.0,0.385
2023,마마16a11b,48,48270,4827036000,38,38080,38080360,434.0,0.0,,0.0
2023,라바76b09b,47,47190,4719033000,37,37050,37050330,393.0,0.3662,431.0,0.0051
2023,라라16b43a,46,46130,4613013900,36,36020,36020680,91.0,0.4066,2297.0,0.0521
2023,마마51a93a,47,47113,4711336000,37,37012,37012360,86.0,0.3494,,0.0
2023,다바17a33a,44,44180,4418033000,34,34030,34030340,103.0,0.0486,,0.0
2023,라마23a20a,48,48870,4887032000,38,38580,38580320,111.0,0.0,,0.0
2023,다라87b11a,46,46770,4677034000,36,36550,36550340,5.0,0.0,,0.0
2023,라바92a67a,47,47210,4721035000,37,37060,37060350,290.0,0.0998,,0.0
2023,다마53b84a,45,45140,4514037000,35,35030,35030370,11.0,0.2767,,0.0
2023,다마44b75b,45,45130,4513034000,35,35020,35020340,37.0,0.0541,,0.0
2023,라바44b21b,47,47250,4725040000,37,37080,37080400,124.0,0.0646,,0.0
2023,다마36b68a,45,45130,4513032000,35,35020,35020320,75.0,0.7067,,0.0
2023,라사74b24a,51,51760,5176025000,32,32540,32540110,52.0,0.0,,0.0
2023,다마57a14b,46,46710,4671038000,36,36510,36510380,156.0,0.0,,0.0
2023,라마36a48a,48,48880,4888025000,38,38590,38590110,46.0,0.0,,0.0
2023,라라90a43a,48,48220,4822036000,38,38050,38050350,267.0,0.0564,,0.0
2023,다바58a66b,44,44200,4420025000,34,34040,34040110,206.0,0.2379,335.0,0.0096
2023,마사04a83b,51,51150,5115037000,32,32030,32030370,38.0,0.1054,1892.0,0.05
2023,다라29a23b,46,46810,4681025000,36,36590,36590110,25.0,0.0,,0.0
2023,라사73a84b,51,51810,5181035000,32,32590,32590350,195.0,0.0205,,0.0
2023,라라97b77a,48,48125,4812531000,38,38113,38113310,275.0,0.2257,,0.0
2023,라사78b60b,51,51760,5176034000,32,32540,32540340,36.0,0.0,,0.0
2023,라바34a49b,47,47250,4725042000,37,37080,37080420,8.0,0.0,,0.0
2023,라마42a58b,48,48880,4888041000,38,38590,38590410,24.0,0.0,,0.0
2023,다사12b72b,28,28710,2871025000,23,23510,23510110,45.0,0.1111,,0.0
2023,라사57a59a,51,51730,5173035000,32,32520,32520350,56.0,0.0,,0.0
2023,마바05b14b,47,47730,4773025000,37,37520,37520110,32.0,0.0,,0.0
2023,라마23b32a,48,48870,4887035000,38,38580,38580350,34.0,0.0,,0.0
2023,라바46b32b,47,47250,4725043000,37,37080,37080430,23.0,0.0,,0.0
2023,라마59a48a,48,48890,4889034000,38,38600,38600340,12.0,0.0,,0.0
2023,다사46b96a,41,41480,4148037000,31,31200,31200370,206.0,0.6751,738.0,0.0048
2023,라바45a36b,47,47250,4725044000,37,37080,37080440,33.0,0.0,,0.0
2023,다바36a68b,44,44270,4427037000,34,34080,34080370,10.0,0.0974,,0.0
2023,마마15a01a,48,48250,4825025000,38,38070,38070110,6.0,0.1667,,0.0
2023,라사25b30b,51,51130,5113033000,32,32020,32020330,8.0,0.3755,,0.0
2023,라마92a38a,48,48740,4874032000,38,38530,38530320,21.0,0.0,,0.0
2023,다바50b18b,44,44790,4479035000,34,34550,34550350,98.0,0.1132,,0.0
2023,다마12b02a,45,45790,4579038000,35,35570,35570380,2.0,0.0,,0.0
2023,라바07a85a,43,43770,4377025300,33,33570,33570120,13.0,0.0,,0.0
2023,다마72b12b,45,45770,4577038000,35,35560,35560330,5.0,0.0,,0.0
2023,라사26b29a,51,51130,5113033000,32,32020,32020330,12.0,0.0,,0.0
